"","Year_Quarter","Ownership_Rate","Housing_Units_Completed","Supply_New_Houses","Housing_Price_Index","Median_Sales_Price"
"1",1975-01-01,64.4,1588,9.9,60.03,10.5479695611148
"2",1975-04-01,64.9,1278,7.2,60.96,10.5713169251118
"3",1975-07-01,64.6,1276,7,61.19,10.5661755256114
"4",1975-10-01,64.5,1134,6.6,62.24,10.6261935353376
"5",1976-01-01,64.6,1258,6.4,62.78,10.6642933815699
"6",1976-04-01,64.6,1332,6.4,65.42,10.6964800680658
"7",1976-07-01,64.9,1322,6.4,66.56,10.7009947484203
"8",1976-10-01,64.8,1388,5.8,67.25,10.725467604939
"9",1977-01-01,64.8,1457,5.3,69.53,10.7428972400743
"10",1977-04-01,64.5,1548,5.5,72.73,10.797532675463
"11",1977-07-01,65,1687,6.1,74.39,10.7954855918412
"12",1977-10-01,64.9,1675,6.1,77.21,10.8512769514697
"13",1978-01-01,64.8,1777,5.9,79.57,10.8780471925343
"14",1978-04-01,64.4,1843,5.8,82.76,10.9205281875104
"15",1978-07-01,65.2,1957,6.6,85.18,10.9348910915108
"16",1978-10-01,65.4,1885,5.7,87.48,10.9852927228879
"17",1979-01-01,64.8,1850,6.6,91.41,11.0120501720574
"18",1979-04-01,64.9,1866,6.8,94.49,11.0524760485293
"19",1979-07-01,65.8,1759,7.1,96.48,11.077516480489
"20",1979-10-01,65.4,1832,7.4,98.22,11.0445205570882
"21",1980-01-01,65.5,1794,7.9,100,11.0619398415603
"22",1980-04-01,65.5,1751,11.6,101.66,11.0666383623418
"23",1980-07-01,65.8,1472,6.5,104.46,11.0806029026922
"24",1980-10-01,65.5,1272,7.3,104.57,11.1034523354645
"25",1981-01-01,65.6,1270,8,105.19,11.1094583595247
"26",1981-04-01,65.3,1469,8.6,107.41,11.1476421464949
"27",1981-07-01,65.6,1337,9,108.85,11.1447561416058
"28",1981-10-01,65.2,1206,10.3,107.49,11.1619485421461
"29",1982-01-01,64.8,1052,8.9,106.14,11.1034523354645
"30",1982-04-01,64.9,979,9.4,108.8,11.1505198463225
"31",1982-07-01,64.9,1006,8.2,107.02,11.146200185178
"32",1982-10-01,64.5,1059,6.2,111.7,11.1788503529487
